습도,강수량,기온,풍속,한식,글로벌,패스트푸드,총배달건수,ㅎㅎ
70,0,-3.8,0.7,4,1,34,256.4102564102564,1
72,0,-3.6,1.0,1,1,23,400.0,1
72,0,-2.7,0.8,3,1,17,476.1904761904762,1
73,0,2.6,0.4,2,0,11,769.2307692307692,0
75,0,1.6,1.0,2,1,13,625.0,2
77,0,1.3,0.8,3,1,22,384.6153846153846,0
80,0,0.5,1.0,3,0,30,303.030303030303,1
80,0,0.3,1.0,3,1,16,500.0,0
79,0,0.9,0.8,1,0,16,588.2352941176471,0
83,0,3.1,0.6,1,0,13,714.2857142857143,0
84,0,2.6,0.6,6,0,27,303.03030303030306,3
84,0,2.7,0.3,2,0,39,243.90243902439025,0
82,0,2.7,1.2,3,0,30,303.030303030303,1
82,0,2.6,1.2,1,1,26,357.14285714285717,1
82,0,3.1,0.5,1,0,17,555.5555555555555,0
97,2,6.2,1.8,1,0,14,666.6666666666667,1
90,0,4.8,1.5,0,1,16,588.2352941176471,0
90,0,4.4,1.3,5,0,17,454.5454545454545,1
87,0,4.0,2.3,3,0,36,256.41025641025647,1
83,0,3.7,1.9,2,3,44,204.08163265306123,0
82,0,3.6,2.0,3,1,39,232.55813953488376,0
82,0,3.8,1.4,2,0,27,344.8275862068965,0
56,0,1.1,2.2,1,2,22,400.0,1
58,0,0.5,1.4,1,1,29,322.58064516129036,1
57,0,0.2,1.9,0,2,25,370.3703703703704,0
56,0,0.1,1.7,2,0,24,384.61538461538464,1
58,0,-0.2,0.7,3,1,33,270.27027027027026,1
55,0,-0.2,1.1,2,3,42,212.7659574468085,1
58,0,-0.6,0.4,6,2,30,263.15789473684214,1
58,0,-0.5,0.7,2,0,39,243.90243902439025,1
55,0,-0.4,0.1,5,0,26,322.58064516129036,3
67,0,2.1,1.2,1,2,26,344.8275862068965,1
68,0,1.9,0.2,2,1,27,333.3333333333333,1
72,0,1.7,0.7,3,0,27,333.3333333333333,0
68,0,3.0,0.5,2,2,30,294.11764705882354,1
68,0,1.8,0.2,7,0,40,212.7659574468085,1
70,0,1.4,0.6,5,1,39,222.22222222222223,0
73,0,0.8,0.5,5,3,53,163.93442622950818,0
68,0,1.4,-1.0,1,0,44,222.22222222222223,0
69,0,1.3,0.1,0,2,39,243.90243902439025,0
66,0,1.9,0.9,0,1,19,500.0,0
90,1,6.2,0.5,1,1,8,1000.0,0
92,1,5.3,0.9,1,1,17,526.3157894736842,0
90,1,5.0,2.0,3,0,16,526.3157894736842,0
92,1,4.9,1.9,2,0,29,322.58064516129036,0
85,0,5.3,2.5,1,1,29,322.58064516129036,0
65,0,6.2,1.7,2,0,9,909.0909090909092,2
78,0,3.2,1.1,2,1,15,555.5555555555555,0
83,0,3.0,0.6,1,1,26,357.14285714285717,0
78,0,3.4,1.0,5,3,27,285.71428571428567,1
77,0,3.8,1.1,1,1,20,454.5454545454545,1
70,0,6.2,1.8,2,0,11,769.2307692307692,2
77,0,5.2,1.2,1,1,14,625.0,0
81,0,4.5,1.3,4,0,9,769.2307692307693,1
74,0,3.7,0.9,2,0,12,714.2857142857142,0
81,0,2.7,1.1,7,0,25,312.5,2
78,0,2.7,0.9,3,0,33,277.7777777777777,1
78,0,2.9,0.9,3,0,25,357.14285714285717,0
71,0,4.4,0.7,1,1,12,714.2857142857142,0
67,0,5.2,0.9,1,2,20,434.78260869565213,1
64,0,5.6,1.5,4,1,27,312.5,2
65,0,5.3,1.8,0,2,26,357.14285714285717,0
67,0,5.3,1.0,1,1,11,769.2307692307692,0
99,0,4.3,0.3,1,1,14,625.0,1
100,0,4.4,0.8,1,2,10,769.2307692307693,1
100,0,4.4,0.6,3,1,18,454.5454545454545,1
99,0,4.2,1.9,1,1,19,476.19047619047615,0
100,0,4.0,0.9,3,1,31,285.7142857142858,1
97,0,3.9,1.0,2,1,53,178.57142857142858,1
97,0,3.9,0.4,1,1,17,526.3157894736842,0
96,0,4.4,1.3,3,1,19,434.78260869565213,0
72,0,7.8,1.3,1,3,21,400.0,1
92,0,4.7,0.3,1,0,18,526.3157894736842,1
94,0,3.8,0.9,3,2,34,256.4102564102564,0
94,0,4.0,0.8,7,0,33,250.0,2
92,0,3.7,0.0,4,2,36,238.0952380952381,1
92,0,4.0,0.8,5,1,38,227.27272727272728,2
94,0,3.8,0.7,2,0,42,227.27272727272722,0
94,0,4.4,0.2,0,1,26,370.3703703703704,0
91,0,5.3,0.5,0,1,11,833.3333333333333,0
78,0,4.6,2.0,3,2,11,625.0,2
93,0,3.9,1.1,2,2,13,588.2352941176471,1
81,0,4.1,2.4,0,2,21,434.78260869565213,0
78,0,4.1,1.6,3,1,28,312.5,3
76,0,3.3,1.5,2,0,23,400.0,1
80,0,2.3,1.2,2,0,30,312.5,2
77,0,1.9,1.6,2,1,32,285.7142857142857,0
73,0,1.2,2.0,4,1,34,256.4102564102564,1
69,0,0.5,1.5,2,3,44,204.08163265306123,1
68,0,0.1,1.5,2,0,31,303.030303030303,0
63,0,2.8,1.2,1,1,14,625.0,1
76,0,1.2,1.0,1,1,33,285.71428571428567,0
74,0,1.5,1.0,0,3,26,344.8275862068965,0
71,0,3.6,1.4,1,0,9,1000.0,0
74,0,3.3,1.3,2,1,19,454.5454545454546,1
75,0,3.8,1.2,1,1,11,769.2307692307692,1
78,0,3.6,1.9,2,0,15,588.2352941176471,1
79,0,3.8,2.5,3,1,16,500.0,0
68,0,3.1,2.2,5,0,31,277.77777777777777,2
71,0,2.8,1.4,2,0,27,344.8275862068965,0
72,0,2.5,2.0,1,1,19,476.19047619047615,0
58,0,-0.5,1.3,3,0,11,714.2857142857143,1
62,0,-0.9,1.5,2,2,20,416.66666666666674,1
60,0,-1.6,1.7,1,1,15,588.2352941176471,0
61,0,-1.9,2.2,2,0,23,400.0,0
60,0,-2.1,2.6,3,4,23,333.33333333333337,2
58,0,-2.4,1.7,2,1,25,357.14285714285717,1
60,0,-2.5,2.6,0,2,19,476.19047619047615,0
69,0,0.8,0.9,2,1,14,588.2352941176471,1
79,0,-0.7,0.9,3,0,20,434.78260869565213,2
81,0,-2.3,0.0,4,4,25,303.030303030303,2
85,0,-1.8,0.9,2,1,32,285.7142857142857,0
82,0,-1.5,0.8,1,0,18,526.3157894736842,0
53,0,4.4,0.8,3,1,8,833.3333333333331,3
53,0,3.8,0.5,3,0,11,714.2857142857143,1
53,0,3.0,0.7,1,1,15,588.2352941176471,0
61,0,2.5,0.4,1,0,26,370.3703703703704,0
56,0,2.9,0.7,5,0,24,344.8275862068965,0
56,0,2.3,0.4,9,1,34,227.27272727272725,0
58,0,2.0,0.7,5,1,47,188.67924528301887,3
55,0,2.8,1.0,1,2,31,294.1176470588236,0
54,0,3.5,1.2,2,0,28,333.33333333333337,0
44,0,6.7,0.1,1,0,12,769.2307692307693,1
56,0,5.6,0.1,1,1,19,476.19047619047615,0
70,0,3.2,0.6,3,1,32,277.77777777777777,0
70,0,3.4,0.0,2,1,43,217.3913043478261,0
76,0,3.1,0.5,0,0,39,256.4102564102564,0
45,0,9.4,0.1,3,0,15,555.5555555555555,3
49,0,8.5,0.3,1,0,14,666.6666666666667,0
49,0,8.4,0.1,0,3,25,357.14285714285717,0
53,0,8.2,0.1,4,1,24,344.8275862068965,1
57,0,7.4,0.0,6,1,20,370.3703703703704,3
57,0,7.0,0.0,4,1,26,322.58064516129036,0
64,0,7.0,0.6,1,1,7,1111.1111111111113,0
66,0,8.9,1.5,1,0,18,526.3157894736842,0
75,0,7.5,1.9,1,1,29,322.58064516129036,0
86,0,6.7,1.6,0,2,36,263.1578947368421,0
93,0,6.3,0.7,0,2,35,270.27027027027026,0
95,0,6.5,1.2,0,1,28,344.8275862068965,0
96,1,6.5,1.6,0,1,17,555.5555555555555,0
96,1,6.5,2.1,2,0,16,555.5555555555555,0
52,0,3.9,1.8,5,1,11,588.2352941176471,3
54,0,3.3,1.7,1,2,12,666.6666666666666,1
52,0,1.1,1.6,3,0,19,454.5454545454546,2
52,0,0.7,1.4,5,1,33,256.4102564102564,0
