습도,강수량,기온,풍속,한식,글로벌,패스트푸드
84.25,0.0,23.868750000000002,0.925,532,276,644
79.8125,0.0,22.856250000000003,0.8875,618,340,736
72.0625,0.5,24.76875,1.2125000000000001,757,347,939
81.625,0.0,21.06875,1.9062499999999998,722,408,755
71.4375,0.0,21.91875,1.60625,471,301,627
75.8125,0.0,22.4875,0.9625000000000001,582,263,691
71.375,0.0,21.925,1.0,548,273,752
74.625,0.0,22.44375,1.3875,536,261,684
79.05882352941177,0.0,22.91764705882353,1.0941176470588236,646,330,889
79.5,0.0,22.16875,1.15625,781,344,982
76.0,0.0,23.981250000000003,0.9687500000000001,750,353,951
60.125,0.0,25.825,0.9,520,265,676
64.3125,0.0,26.137500000000003,1.5125000000000002,585,236,734
97.3125,20.5,20.862499999999997,1.525,745,290,835
96.375,4.0,19.956249999999997,1.8,594,287,796
86.5,0.0,21.725,1.1,665,333,885
83.75,0.0,23.206249999999997,1.46875,700,402,1022
84.25,0.0,22.86875,1.1375,708,377,1026
88.6875,55.0,20.74375,2.5812500000000003,490,244,711
96.0625,1.5,19.09375,1.31875,621,264,820
-1.0,0.0,-1.3866666666666667,0.36666666666666675,254,118,356
-1.0,0.0,-2.3411764705882354,0.31764705882352945,137,74,73
-1.0,0.0,-3.769230769230769,0.2153846153846154,32,26,42
-1.0,0.0,-3.814285714285714,0.3642857142857143,18,18,33
-1.0,0.0,-1.2499999999999998,0.28571428571428575,28,17,44
-1.0,14.5,3.3454545454545457,1.1,24,4,62
-1.0,19.0,3.5499999999999994,1.6583333333333332,12,8,19
-1.0,0.0,-1.8090909090909095,1.0545454545454547,13,17,23
-1.0,0.0,-4.63076923076923,0.6692307692307693,13,11,26
-1.0,0.0,-3.9500000000000006,0.20000000000000004,8,16,34
-1.0,0.0,-2.7846153846153845,0.576923076923077,12,16,24
-1.0,0.0,-5.092307692307693,0.423076923076923,13,11,44
-1.0,0.0,-7.25,0.49166666666666664,10,2,25
-1.0,0.0,-7.2727272727272725,0.3727272727272727,10,9,20
-1.0,0.0,-6.690909090909091,0.33636363636363636,4,10,24
-1.0,0.0,-5.45,0.7166666666666665,9,11,21
-1.0,0.0,-4.863636363636363,0.43636363636363634,12,14,22
-1.0,0.0,-1.828571428571428,0.41428571428571426,21,17,17
-1.0,0.0,-1.823076923076923,0.6076923076923078,11,15,33
-1.0,0.0,-5.541666666666667,0.7083333333333334,8,0,23
-1.0,0.0,-1.65,0.44000000000000006,8,5,20
-1.0,0.0,0.015384615384615347,0.5923076923076923,10,10,38
-1.0,0.0,-1.5299999999999998,0.71,4,18,14
-1.0,0.0,-1.9400000000000002,0.29000000000000004,8,18,10
-1.0,0.0,5.472727272727273,2.309090909090909,10,16,23
-1.0,0.0,4.95,1.0000000000000002,5,10,31
-1.0,0.0,1.8272727272727274,0.8454545454545456,9,11,16
-1.0,0.0,0.42000000000000004,0.6,8,2,16
70.41666666666667,0.0,0.725,0.35833333333333334,9,7,19
85.33333333333333,0.0,-1.4166666666666667,0.34166666666666673,6,10,33
64.21428571428571,0.0,-2.25,0.4357142857142858,16,19,27
61.53846153846154,0.0,-0.5153846153846154,1.3692307692307695,15,9,28
58.4,0.0,-5.93,0.64,11,2,20
48.9,0.0,-8.989999999999998,1.8800000000000001,12,5,18
53.09090909090909,0.0,-12.41818181818182,0.5909090909090909,7,10,17
63.90909090909091,0.0,-7.309090909090911,0.3909090909090908,6,4,23
73.91666666666667,0.0,-1.2,0.8500000000000001,11,13,25
66.36363636363636,0.0,-5.581818181818182,0.4636363636363636,10,6,34
80.53846153846153,0.0,-1.4461538461538461,0.4461538461538461,12,9,24
80.0,0.0,-2.03,0.29,2,2,24
62.36363636363637,0.0,4.672727272727273,0.23636363636363641,13,10,16
99.07692307692308,0.5,4.8,0.5307692307692308,8,8,25
90.63636363636364,0.0,3.9818181818181815,0.34545454545454546,7,6,16
93.1,0.0,3.46,0.45,9,17,19
91.0,11.5,2.4384615384615382,1.6846153846153844,15,22,28
74.1,1.0,-4.909999999999999,1.9299999999999997,17,8,20
53.44444444444444,0.0,-7.433333333333334,1.1777777777777776,9,2,13
76.25,0.0,-5.558333333333334,0.10833333333333334,15,9,9
86.5,0.0,-1.64,0.36,9,10,19
94.16666666666667,0.0,-0.024999999999999984,0.325,10,8,22
87.8,5.0,4.049999999999999,1.1300000000000001,16,16,32
54.18181818181818,0.0,-1.9636363636363638,0.5636363636363636,12,13,39
71.0,0.0,1.8583333333333332,1.0083333333333333,25,8,26
86.72727272727273,7.0,5.245454545454546,0.5818181818181819,17,0,15
74.72727272727273,0.0,1.9909090909090907,0.6272727272727272,10,13,16
75.83333333333333,0.0,1.8083333333333336,0.8916666666666667,14,15,19
77.58333333333333,0.0,2.4166666666666665,0.3666666666666667,10,10,21
94.58333333333333,0.5,3.35,0.5166666666666666,16,8,36
94.91666666666667,0.0,1.9499999999999995,0.425,20,14,28
73.84615384615384,0.0,1.5846153846153848,1.6,22,18,39
58.72727272727273,0.0,-0.9636363636363636,1.7090909090909092,12,10,18
77.92307692307692,0.0,-2.776923076923077,0.48461538461538467,16,8,34
68.7,0.0,-0.35,0.45,15,20,27
78.66666666666667,0.0,1.4083333333333334,0.43333333333333335,17,12,37
73.33333333333333,0.0,3.3333333333333335,0.4833333333333332,20,5,18
81.14285714285714,4.0,6.742857142857143,0.9714285714285714,8,0,16
48.0,0.0,1.9249999999999998,2.625,11,14,14
72.6923076923077,0.0,1.1538461538461537,1.2461538461538462,15,6,18
67.25,0.0,5.441666666666666,1.8416666666666666,14,8,29
53.25,0.0,-2.1416666666666666,0.9166666666666669,18,15,25
72.41666666666667,0.0,1.8833333333333335,0.9166666666666669,12,13,37
55.81818181818182,0.0,-1.8181818181818181,0.8,22,12,24
75.22222222222223,0.0,3.7777777777777777,1.6333333333333335,15,0,14
87.63636363636364,0.0,2.8363636363636364,0.7272727272727273,11,7,15
70.7,0.0,10.530000000000001,2.71,10,5,17
65.0,0.0,4.027272727272727,1.0727272727272728,12,10,15
61.72727272727273,0.0,8.654545454545454,1.5272727272727271,12,12,29
72.6923076923077,0.0,7.384615384615386,1.130769230769231,22,10,23
51.583333333333336,0.0,5.541666666666667,0.9333333333333332,19,9,25
59.416666666666664,0.0,4.941666666666666,0.43333333333333335,15,0,20
61.6,0.0,5.28,0.42000000000000004,6,12,11
79.54545454545455,0.0,6.854545454545454,0.3909090909090909,20,8,22
87.0,0.5,11.881818181818181,0.9545454545454544,14,6,21
27.166666666666668,0.0,5.366666666666667,1.8250000000000002,22,13,24
45.69230769230769,0.0,1.7384615384615383,0.7461538461538461,18,21,28
77.5,0.0,3.2900000000000005,0.3,18,13,30
68.0909090909091,0.0,3.427272727272727,0.3727272727272728,19,0,7
42.7,0.0,8.690000000000001,0.42000000000000004,25,14,15
74.6,0.0,3.4299999999999997,0.5700000000000001,15,3,19
80.58333333333333,0.0,3.6666666666666665,0.4083333333333334,20,10,13
75.07692307692308,0.0,6.907692307692306,0.9076923076923078,17,10,19
27.181818181818183,0.0,3.2545454545454544,1.5,14,12,34
48.416666666666664,0.0,2.425,0.42500000000000004,23,10,27
