습도,강수량,기온,풍속,한식,글로벌,패스트푸드
57,0,6.0,1.7,4,4,30
60,0,5.4,1.3,8,1,45
59,0,5.3,1.5,6,1,37
57,0,6.4,1.8,3,0,34
61,0,9.9,1.7,2,1,9
74,0,8.1,0.9,1,3,35
76,0,7.9,1.2,4,0,33
70,0,8.4,0.9,0,3,33
69,0,9.7,1.5,0,1,18
45,0,10.9,1.2,2,0,15
52,0,8.4,0.6,1,1,12
52,0,8.0,0.5,7,0,30
49,0,7.8,0.9,2,2,32
53,0,7.3,0.5,2,0,40
52,0,8.6,0.3,1,1,35
44,0,10.8,1.7,2,0,11
36,0,12.9,1.0,1,0,13
29,0,13.4,0.7,2,1,19
31,0,13.3,0.3,3,3,26
30,0,13.1,0.9,1,4,28
36,0,11.9,0.2,1,4,38
44,0,11.4,0.7,2,0,26
46,0,10.3,0.5,3,0,30
44,0,10.1,0.2,4,1,31
47,0,9.2,0.0,5,1,35
54,0,9.7,0.7,5,2,56
56,0,10.1,1.3,4,0,43
54,0,11.2,0.9,0,1,35
48,0,13.4,1.5,1,2,24
52,0,14.6,1.3,4,1,21
54,0,14.0,1.7,3,1,34
89,0,10.4,2.2,0,0,11
90,0,11.7,1.2,5,3,17
93,0,11.1,1.0,1,1,27
92,0,11.1,0.8,1,0,21
92,0,10.7,1.2,1,0,10
88,0,10.0,1.5,2,1,29
83,0,9.8,1.3,1,0,41
83,0,9.1,0.9,1,2,37
79,0,9.5,2.2,1,0,49
74,0,11.0,1.1,3,1,26
77,0,11.9,0.8,1,0,16
79,0,12.0,0.9,3,1,33
80,0,11.9,0.9,10,1,31
81,0,12.1,0.9,5,0,40
81,0,12.1,1.3,0,2,56
99,1,9.6,1.3,2,3,24
97,0,9.2,1.4,1,2,29
93,0,9.4,1.1,3,0,26
88,0,9.4,1.6,3,1,26
86,0,9.1,0.8,6,0,48
84,0,9.2,1.1,5,2,50
80,0,9.3,1.2,4,1,49
80,0,9.2,0.6,2,0,33
81,0,9.5,0.9,1,2,40
60,0,9.0,1.6,1,3,14
58,0,8.7,1.9,2,1,7
70,0,7.9,1.2,0,1,8
78,0,7.4,2.3,1,1,35
79,0,6.1,0.6,1,0,26
60,0,7.8,1.5,1,2,26
47,0,5.8,2.1,0,2,15
42,0,4.9,2.6,3,0,17
42,0,4.6,2.1,2,0,17
53,0,5.4,1.6,5,2,10
65,0,4.3,0.7,2,1,29
64,0,4.5,1.4,3,0,23
65,0,4.5,1.1,4,2,30
59,0,5.9,1.5,3,1,25
50,0,8.0,2.8,2,0,5
63,0,6.3,1.1,1,0,10
71,0,6.0,0.7,1,0,14
71,0,5.9,0.9,4,1,32
79,0,4.5,1.2,3,0,35
75,0,4.6,1.2,2,0,21
63,0,8.8,3.1,1,1,15
63,0,10.4,2.8,2,1,7
56,0,10.5,3.1,1,1,13
52,0,11.0,2.3,1,1,27
55,0,10.8,2.1,4,0,25
55,0,11.3,3.1,2,0,30
53,0,12.3,3.3,1,0,29
50,0,14.0,3.7,3,0,32
51,0,12.4,1.8,5,2,26
54,0,11.8,1.6,3,0,23
57,0,11.1,1.5,4,1,20
58,0,10.7,1.2,3,0,18
59,0,9.8,0.7,6,0,29
